Eco_Reserve,Location,Transect,Plot,Latitude,Longitude,Elevation,Slope,Aspect,Forest_Type,Harvest_History,Age_DBH,Live_Basal_Area,Live_TPH,Large_Live_TPH,Very_Large_Live_TPH,Standing_Dead_TPH,Large_Standing_Dead_TPH,Very_Large_Standing_Dead_TPH,DCWD_Volume,Large_DCWD_Volume
Donnell Pond,NA,1,4,44.59142811,-68.11123949,208,10,30,120,0,93,25.71243116,773.287644,0,0,416.3856545,0,0,8.55686454,0
Donnell Pond,NA,1,5,44.59277758,-68.10881252,179,20,355,800,0,95,30.85392697,535.3529843,138.7197179,19.75238801,178.4509948,0,0,38.31688338,0
Donnell Pond,NA,1,6,44.59412789,-68.10649882,154,16,355,800,0,35,19.06109136,594.8366492,0,0,178.4509948,0,0,47.35485677,0
Donnell Pond,NA,3,1,44.60133011,-68.12043832,223,12,130,120,0,55,14.29581852,475.8693194,0,0,0,0,0,0,0
Donnell Pond,NA,3,2,44.60065172,-68.11768902,191,60,188,120,0,52,35.07189421,951.7386388,0,0,0,0,0,6.220050127,0
Donnell Pond,NA,3,3,44.59995408,-68.11478886,179,25,52,120,0,211,18.6780008,416.3856545,69.35985893,9.876194003,237.9346597,0,0,6.735523895,0
Donnell Pond,NA,3,4,44.59949981,-68.11193547,148,10,135,120,0,50,19.61236802,297.4183246,59.48366492,0,0,0,0,0,0
Donnell Pond,NA,3,5,44.59897276,-68.10899503,125,8,25,900,1,38,8.044901796,416.3856545,0,0,118.9673298,0,0,6.735523895,0
Donnell Pond,NA,3,6,44.59828391,-68.10609493,123,26,295,900,0,65,8.686111303,416.3856545,0,0,59.48366492,0,0,0,0
Donnell Pond,NA,5,1,44.59325261,-68.10508854,167,13,15,800,0,85,15.61327631,416.3856545,19.75238801,19.75238801,237.9346597,0,0,29.24454507,0
Donnell Pond,NA,5,2,44.59117466,-68.10415034,220,30,28,800,0,70,24.04126867,594.8366492,0,0,0,0,0,41.95956467,0
Donnell Pond,NA,5,3,44.58911551,-68.1033127,279,43,0,120,0,69,6.120105315,356.9019895,0,0,0,0,0,0,0
Donnell Pond,NA,5,4,44.58698473,-68.10252661,264,30,164,120,0,65,26.19498512,773.287644,0,0,118.9673298,0,0,0,0
Donnell Pond,NA,5,5,44.58489034,-68.10179041,188,15,170,120,0,94,50.21555755,1189.673298,0,0,118.9673298,0,0,3.436491783,0
Donnell Pond,NA,5,6,44.58280615,-68.10120526,143,20,100,120,0,132,39.1678798,1130.189634,0,0,416.3856545,0,0,21.68426315,0
Duck Lake,NA,4,1,45.10884171,-68.03859265,109,5,54,100,1,105,42.93884576,376.6543776,79.00955202,79.00955202,0,0,0,25.12075493,0
Duck Lake,NA,4,2,45.10784656,-68.04121527,111,2,150,100,1,125,21.488811,535.3529843,108.8646349,49.38097001,59.48366492,0,0,12.50883009,0
